dataset,attribute,group,n_samples,status,F2,F3,F4,N2,N3,N4,Raug,L1,L2,L3,T1,BayesImbalance,missing_metrics
cleveland,sex,0,96,ok,0.032206944602320646,0.9270833333333334,0.010416666666666666,0.9781265677414797,0.3125,0.010416666666666666,0.7083333333333334,0.12350443856482349,0.09375,0.03125,1.0,0.47916666666666663,-
cleveland,sex,1,201,ok,0.25556635792831445,0.9552238805970149,0.7263681592039801,0.9643308467237499,0.3880597014925373,0.009950248756218905,0.7910447761194029,0.169003684496403,0.16417910447761197,0.14427860696517414,1.0,0.11442786069651745,-
cleveland,age_group,40-49,75,ok,0.2860275689223057,0.96,0.02666666666666667,0.8894709032087188,0.3333333333333333,0.02666666666666667,0.7066666666666667,0.06305508796396249,0.053333333333333344,0.04,1.0,0.41333333333333333,-
cleveland,age_group,50-59,126,ok,0.3820432265577831,0.9682539682539683,0.5555555555555556,0.991944289502729,0.4126984126984127,0.031746031746031744,0.9126984126984127,0.1462723896655666,0.13492063492063489,0.10317460317460317,1.0,0.031746031746031855,-
cleveland,age_group,60-69,73,ok,0.14250056003584227,0.8767123287671232,0.0821917808219178,1.2676249435544418,0.5342465753424658,0.0410958904109589,0.9726027397260274,0.15466806832157806,0.17808219178082196,0.0684931506849315,1.0,0.17808219178082196,-
cleveland,age_group,70+,6,skipped (n < 50),,,,,,,,,,,,,
cleveland,age_group,<40,17,skipped (n < 50),,,,,,,,,,,,,
kaggle_heart,sex,0,193,ok,0.1746305399766415,0.9585492227979274,0.7253886010362695,0.9416895267373315,0.24870466321243523,0.02072538860103627,0.6424870466321243,0.1872522022796865,0.13989637305699487,0.13471502590673576,1.0,0.4818652849740933,-
kaggle_heart,sex,1,725,ok,0.21513529667264603,0.9944827586206897,0.9351724137931035,0.9561603690190819,0.34344827586206894,0.020689655172413793,0.7751724137931034,0.1979044534592776,0.22206896551724142,0.2110344827586207,0.9966666666666667,0.26344827586206887,-
kaggle_heart,age_group,40-49,223,ok,0.20980250789514915,0.9820627802690582,0.8295964125560538,0.9271942447362546,0.36771300448430494,0.017937219730941704,0.8251121076233184,0.1760332505717117,0.17040358744394624,0.12556053811659193,1.0,0.1659192825112108,-
kaggle_heart,age_group,50-59,381,ok,0.19221436676267786,0.989501312335958,0.8976377952755905,1.0140826248881503,0.34120734908136485,0.023622047244094488,0.8372703412073491,0.20244788653640153,0.22572178477690286,0.1942257217847769,0.9973753280839895,0.16535433070866135,-
kaggle_heart,age_group,60-69,197,ok,0.19698450751792074,0.934010152284264,0.7969543147208121,0.956636410149635,0.3197969543147208,0.030456852791878174,0.7411167512690355,0.18456177466860232,0.2182741116751269,0.2131979695431472,0.9949238578680203,0.47208121827411165,-
kaggle_heart,age_group,70+,24,skipped (n < 50),,,,,,,,,,,,,
kaggle_heart,age_group,<40,93,ok,0.12861430791288284,0.956989247311828,0.3870967741935484,0.9280368251945691,0.2903225806451613,0.043010752688172046,0.7849462365591398,0.19303467007453096,0.17204301075268813,0.16129032258064516,1.0,0.31182795698924726,-
cardio70k,sex,0,45530,ok,0.29817936612364604,0.9999341093784319,0.9992093125411816,1.2449781163186704,0.4,0.155,0.87,0.19088468427662988,0.2952339117065671,0.263,1.0,0.0065451350757742555,-
cardio70k,sex,1,24470,ok,0.05881426919088935,0.9997548017981202,0.9982427462198611,1.0906515935283587,0.433,0.119,0.901,0.1923552380771455,0.2859419697588884,0.258,1.0,0.010461789946873745,-
cardio70k,age_group,40-49,19786,ok,0.049163001443357175,0.9995956737086829,0.9972202567471949,0.9949248095696751,0.348,0.088,0.845,0.2119313337007938,0.2355706054786213,0.217,1.0,0.24016981704235318,-
cardio70k,age_group,50-59,35556,ok,0.6706205321858258,0.9999437507031163,0.9989593880076499,1.0239191382263333,0.383,0.139,0.887,0.17843909179459563,0.304646191922601,0.295,1.0,0.03802452469344142,-
cardio70k,age_group,60-69,12762,ok,0.009919289455908115,0.9997649271274095,0.9973358407773076,1.0358678710645695,0.426,0.091,0.874,0.2145306902177583,0.32776994201535814,0.35,1.0,0.340542234759442,-
cardio70k,age_group,<40,1896,ok,0.0007531270923665287,0.9978902953586498,0.9694092827004219,0.858491898117027,0.254,0.019,0.58,0.21779612763469794,0.16983122362869196,0.169,1.0,0.5210970464135021,-
